Brand,Series,Title,Price,Memory,Storage
Lenovo,,Lenovo V14 G4 2023 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 14-inch FHD (1920 x 1080) IPS Display | AMD Radeon™ 610M Graphics | Windows 11 Pro | 1 Year Warranty),"रु 63,999.00",,
Acer,Aspire Series,"Acer Aspire 3 A315-59 (Intel Core i5 1235U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD (1920 x 1080) Display | 1 Year Warranty)","रु 64,499.00",,
Acer,Aspire Series,"[Backlit Keyboard] Acer Aspire 3 Slimbook (AMD Ryzen 5 7430U Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 1 Year Warranty)","रु 65,499.00",,
Acer,Aspire Series,Acer Aspire Go 14 AG14-21P (AMD Ryzen 5 7520U Processor | 16GB RAM | 512GB SSD | 14-inch WUXGA (1920 x 1200) Display | AMD Radeon Graphics | 1 Year Warranty),"रु 67,999.00",,
LENOVO,V15 G3,"Lenovo V15 G3 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Integrated Intel UHD Graphics | 15.6"" FHD IPS Display )","रु 67,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad 1 14IAU7 (12th Generation Intel Core i5 1235U Processor | 16GB RAM | 512GB SSD | 14"" FHD (1920 x 1080) Display | 1 Year Warranty)","रु 67,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad 1 15IAU7 (12th Gen Intel Core i5 1235U Processor | 16GB RAM | 512GB SSD Storage | Intel Graphics | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 67,999.00",,
Acer,Aspire Series,Acer Aspire 3 15 (AMD Ryzen 7 5700U Processor | 16GB RAM | 512GB SSD | AMD Radeon Graphics Card | 15.6-inch FHD (1920 x 1080) IPS SilmBezel Display | 1 Year Warranty),"रु 68,499.00",,
Lenovo,IdeaPad Series,Lenovo IdeaPad Slim 3 14IAH8 (12th Gen Intel Core i5 12450H Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics Card | 14-inch FHD Display | 1 Year Warranty),"रु 68,999.00",,
,,"Lenovo IdeaPad Slim 3 15IAH8 (12th Generation Intel Core i5 12450H Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) Display | Intel UHD Graphics | 1 Year Warranty)","रु 68,999.00",,
Acer,Aspire Series,Acer Aspire Lite 15 (Intel Core i5 1235U Processor | 16GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6-inch FHD (1920 x 1080) Display | 1 year Warranty),"रु 69,000.00",,
ACER,ASPIRE 5,"Acer Aspire 5 (Intel Core i5 12450H Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD (1920 x 1080) Display | 1 Year Warranty)","रु 69,999.00",,
ACER,ASPIRE SERIES,"Acer Aspire 5 A515-58P (13th Generation Intel Core i5 1335U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD (1920 x 1080 Display | 1 Year Warranty)","रु 71,999.00",,
HP,Notebook Series,"HP NoteBook 15 (13th Gen Intel Core i5-1334U Processor | 8GB DDR4 RAM | 512GB NVMe SSD | Intel Iris Xe Graphics Card | 15.6"" FHD (1920 x 1080) Display | Backlit Keyboard | 1 Year Warranty)","रु 71,999.00",,
Acer,Aspire Series,"Acer Aspire 3 A314 (AMD Ryzen™ 5 7520U processor | 16GB LPDDR5 RAM | 512GB PCIe SSD | AMD Radeon™ Graphics | 14"" FHD (1920x1080) Display | Windows 11 Home | 1 Year Warranty)","रु 72,000.00",,
Acer,Aspire Series,"Acer Aspire 3 15 (13th Gen Intel Core i5 1334U Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 1 Year Warranty)","रु 73,699.00",,
Hewlett-Packard (HP),Notebook,"HP Notebook 15S FQ5022NE (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display)","रु 74,000.00",,
Dell,Vostro Series,Dell Vostro 3530 (Intel Core i5 1335U Processor | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 1 Year Warranty),"रु 74,999.00",,
ACER,IDEAPAD,"Lenovo IdeaPad 3 (AMD Ryzen 7 5700U Processor | 20GB RAM | 512GB SSD | AMD Radeon Graphics | 14"" FHD Display)","रु 75,000.00",,
,,Lenovo IdeaPad Slim 3 14IRH8 (13th Generation Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD | 14.0-inch FHD (1920 x 1080) Display | Intel UHD Graphics | 1 Year Warranty),"रु 75,000.00",,
Acer,Aspire Series,"Acer Aspire 3 15 (13th Gen Intel Core i5 1334U Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | Backlit Keyboard | 1 Year Warranty)","रु 75,399.00",,
ASUS,VivoBook,"ASUS VivoBook Go 15 E1504FA-NJ113W (AMD Ryzen 5-7520U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics Card | 15.6"" FHD (1920 x 1080) Display | 2 Year Authorized Warranty)","रु 75,999.00",,
LENOVO,ThinkBook Series,Lenovo ThinkBook 14 (12th Gen Intel Core i5-1235U Processor | 8GB RAM | 512GB SSD | Integrated Intel UHD Graphics Card | 14-inch FHD IPS Display | 1 Year Warranty),"रु 75,999.00",,
Acer,Aspire Series,"Acer Aspire 3 Slimbook (AMD Ryzen 7 7730U Processor | 16GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 1 Year Warranty)","रु 76,999.00",,
Lenovo,Ideapad Series,"Lenovo IdeaPad Slim 3 15IRU9 (14th Gen Intel Core 5 120U Processor | 8GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) Touch IPS Display | Intel Graphics | 1 Year Warranty)","रु 77,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad Slim 3 14IRH10 (13th Gen Intel Core i5 13420H Processor | 16GB RAM | 512GB SSD Storage | 14"" WUXGA (1920 x 1200) IPS Display | Backlit Keyboard | 1 Year Warranty)","रु 79,999.00",,
ACER,SWIFT ,"Acer Swift 3 (AMD Ryzen 7 - 5700U Processor | 8GB RAM | 512GB SSD | AMD Radeon Vega 8 Graphics | 14"" FHD Display)","रु 79,999.00",,
Acer,Aspire Series,Acer Aspire 5 15 (14th Generation Intel® Core™ 5 processor 120U Processor | 8GB RAM | 512GB SSD | 15.6-inch FHD (1920 x 1080) IPS Display | Intel UHD Graphics | 1 Year Warranty),"रु 79,999.00",,
Acer,Swift Series,Acer Swift Go 14 (AMD Ryzen 5 7430U Processor | 16GB RAM | 512GB SSD | AMD Radeon Graphics Card | 14-inch FHD (1920 x 1080) IPS Display | Fingerprint Reader | 1 Year Warranty),"रु 79,999.00",,
HP,Business Series,HP 15-dw4017nq (12th Gen Intel Core i5-1235U Processor | 8GB DDR4 RAM | 512GB M.2 NVMe SSD | NVIDIA GeForce MX550 2GB Graphics Card | 15.6-inch FHD (1920 x 1080p) Display | 1 Year Warranty),"रु 80,000.00",,
Hewlett-Packard (HP),Pavilion,"HP Pavilion x360 14-EK0033 2-IN-1 (Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | 14"" FHD Touchscreen Display)","रु 80,999.00",,
ASUS,VivoBook Go Series,"Asus VivoBook Go E1404 2023 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 14"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 2 Years Authorized Warranty)","रु 81,500.00",,
ASUS,VIVOBOOK,Asus Vivobook X1402ZA - EK647W (lntel Core i5-1235U Processor | 8GB DDR4 on board | 512GB SSD | 14.0-inch FHD Display | Wired optical mouse),"रु 82,000.00",,
HP,Pavilion Plus Series,"HP Pavilion Plus 14-ey0047nr (AMD Ryzen 5 7540U Processor | 16GB RAM | 512GB SSD | 14"" WUXGA (1920 x 1200) IPS Display | 1 Year Warranty)","रु 82,499.00",,
