Brand,Series,Price,Ram,Storage,Graphics,Processor
Lenovo,LOQ 15IRH8 Series,90000.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,Intel Core i5
Lenovo,LOQ Series,91999.0,12.0,512.0, NVIDIA GeForce RTX 3050 6GB ,AMD Ryzen 5
Dell,Inspiron Series,91999.0,8.0,512.0, Intel ,Intel Core i7
Lenovo,IdeaPad Series,91999.0,16.0,512.0,No,Intel Core i7
HP,Victus,92000.0,8.0,512.0, NVIDIA RTX 2050 ,AMD Ryzen 5
Lenovo,Yoga Series,92999.0,8.0,512.0,No,AMD Ryzen 5
Lenovo,LOQ Series,92999.0,8.0,512.0, RTX 2050 ,Intel Core i5
ASUS,VivoBook,93000.0,8.0,512.0, AMD Radeon ,AMD Ryzen 7
ASUS,VivoBook Series,93499.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
Acer,Nitro 5 Series,93999.0,16.0,512.0, RTX 2050 4GB ,Intel Core i5
Dell,Inspiron Series,94499.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
Acer,Aspire Series,94999.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,Intel Core i5
Dell,Gaming Series,94999.0,16.0,512.0, NVIDIA GeForce RTX 3050 4GB ,Intel Core i5
HP,Pavilion Series,94999.0,16.0,512.0, Intel ,Intel Core i5
HP,Pavilion Series,94999.0,16.0,512.0,No,AMD Ryzen 7
Dell,Vostro Series,94999.0,8.0,512.0, Intel ,Intel Core i7
Lenovo,ThinkBook Series,95000.0,8.0,512.0, Intel Iris Xe ,Intel Core i7
HP,Envy Series,95000.0,16.0,512.0,No,AMD Ryzen 5
DELL,INSPIRON,97000.0,8.0,256.0, Radeon ,Ryzen 5
Lenovo,LOQ Series,97000.0,12.0,512.0, NVIDIA GeForce RTX 2050 ,Intel Core i5
Apple,M4 Series,97499.0,16.0,256.0,No,Intel Core i7
ACER,Nitro V 15,97999.0,16.0,512.0, NVIDIA RTX 3050 6GB ,AMD Ryzen 5
MSI,Modern Series,98999.0,16.0,512.0, Intel Iris Xe ,Intel Core i7
ASUS,VIVOBOOK,99999.0,16.0,512.0, lntel UHD ,Intel Core i7
MSI,GF63 Series,100000.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB GDDR6 ,Intel Core i5
DELL,INSPIRON,100999.0,8.0,512.0, Intel UHD ,Intel Core i7
ASUS,TUF Gaming Series,101999.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,AMD Ryzen 7
HP,Pavilion Series,101999.0,8.0,512.0, AMD Radeon ,AMD Ryzen 7
Acer,Swift Series,101999.0,16.0,512.0, Intel Arc ,Intel Core i7
Acer,Aspire Series,102999.0,16.0,512.0, NVIDIA GeForce RTX 3050 6GB ,Intel Core i5
MSI,Modern 15,103000.0,8.0,512.0, Intel Iris Xe ,Intel Core i5
ASUS,Zenbook UM3402YA,103000.0,8.0,512.0, AMD Radeon ,AMD Ryzen 5
Apple,Macbook Air,103999.0,16.0,256.0,No,Intel Core i7
Lenovo,LOQ Gaming Series,104999.0,16.0,512.0, NVIDIA GeForce RTX 4050 6GB ,AMD Ryzen 5
HP,EliteBook Series,104999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
ASUS,TUF Gaming Series,104999.0,16.0,512.0, NVIDIA GeForce RTX 3050 4GB ,AMD Ryzen 7
Hewlett-Packard (HP),Victus,105499.0,8.0,512.0,NVIDIA RTX 3050 ,Intel Core i5
Acer,Nitro V 15,105999.0,16.0,512.0, NVIDIA RTX 4050 6GB ,AMD Ryzen 5
ASUS,TUF Series,106000.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,AMD Ryzen 5
ACER,Nitro V 15,106999.0,16.0,512.0, NVIDIA RTX 3050 6GB ,Intel Core i5
Acer,Swift Series,108499.0,16.0,512.0, Intel Arc ,Intel Core i7
ASUS,TUF Series,109499.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,AMD Ryzen 7
